Words,W2,W3,W4,W5,W6,W7,W8,W9,W10,W12,W14,W15,W16,W18,W20,W22,W23,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W46,W48,W49,W50,W51,W52,W54,W55,W56,W58,W60,W61,W62,W63,W64,W65,W66,W68,W69,W70,W72,W73,W74,W75,W76,W77,W78,W79,W81,W83,W84,W86,W87,W89,W90,W91,W92,W93,W94,W95,W97,W98,W99,W100,W101,W103,W105,W106,W107,W108,W109,W110,W111,W112,W113,W114,W115,W117,W119,W123,W125,W24,W59,,
L13_Kwese,ìdòndò ,-ôgò ,mbǒnza,-bala ,?,gûndu,zûndà,dunzìla,gùsùmà,měnga ,gigûdi,màyělé,gûhyà,?,dùdà,gwǐzá,?,gû-fwà,-bwâ,gûnwà,gûjì,gûdyà,mbèbè,?,ìsò,?,?,mâzì,lùsàlà,bondè,cîyà,?,sùyì,?,gùvùlùmǔgá,?,gùhwà,?,hǒʃí,sûgi,mûdwè,gûvwà,mú-jìma,lubǒngo,?,?,?,gùsǐyá,-bôngò,?,gùzǐyá,ìzì,gǔlú,mbèbè,nzěngá,yàlà,ngǒndá,gǎnó,dìzìnà,?,ʃìngò,pǐpá,mùzùlù,-môʃì,mŭtu,mvula -vû,nzìla,lùkângà,?,-sengà lusěnga,gùmònà,?,?,?,gòbà,?,dûlò,-sî,?,?,?,-we,-dángwà,-gîlà múgìla,?,?,dìmì,dìzó,mûtì,-yâdì,?,?,?,gwěndá,?,mêyà,?,mùkědú,?,?,,"Bastin Y, Coupez A, & Mann M (1999) Continuity and divergence in the Bantu languages: perspectives from a lexicostatistic study (Musée Royal de l’Afrique Centrale (MRAC), Annales, Série in-8°, Sciences humaines 162, Tervuren) p 225."
L23_Songe,mwîtà,mbòko,butǒ,kifùsù,kididi,efù,mukàtà,kôni,kusùma,masè,mufùfwa,ebè:le,kufyà,muana,elevu,kufìkà,kubadika,kufwǎ,ḿbwà,kutòma,etwì ,kudyǎ,eyì,ngefu,eìso,mpala,kufona,mwîmù,lusǒ,lwâla,kâlo,ntete,muʃìpà,- tanu,kupàlàlà,nanka,kufà,mbuji,paʃi,luɲè:ne,mutwě,kupùʃa,eʃìmbà,lusùngwa,nshibu,nzala,ela,lwìfà,ekùnungù,kafete ,kuǔka,esàki,mukǒlò,eshimba difite,ńkìsa,mulùme,mwêʃi,kukànwà,eʃìna,musuku,nʃìngo,bufùku,mpèmbe,-mone,mûntu,mpèʃi,eʃìnda,muʃì,mungwa,mafyènkyeɲì,kumòna,kutuma,?,?,ekòba,eilu,túlǒ,mîʃi,nioka ,mulumbu,?,ebwà,ńgùba,mukìla,ekumi ,satu,edìmi,eìno,mutshi,bàbìdì,masukulu,kikulu,kulasa,kutàmbuka,ngoji,mêma,?,mukàʃi ba-,lume,bilonda,,"collector: Gérard Philippson, Laboratoire Dynamique du Langage, Lyon"
L31a_Luba-Kasai,mú-ɲiɲé,ku-boko,bú-tu,cí-zúbú,bulààlu,dí-fu,-nené,ɲúúɲí,kú-sumá,má-ʃí,múfubá,dí-beelé,kóóʃá kú-óʃá,mwena munda ,dí-vúbá,kú-vwá,-badika 15,kú-fwa,m-bwá,kú-nwa,dí-cí,kú-dya,dí-yí,nzevu ,dîsú,mpàla ,-pòna 15,ma-fúta,lú-sala,lú-zadí,ká-pya,?,mú-ʃípá,-taanu nombre cardinal,-bùùka ,-naayi nombre cardinal,kú-pa,mbùji,bú-lóbá,lú-súki,mú-twe,kúmvwá ,móóyó,lúseŋú,nzùbu,nzala ,dila ,kú-ʃípá,cí-nú,keelè,kú-máɲá,dyâɲé ,mú-kolo,mú-cimá,n-kusu,mulume,mwenzí,mú-káná,dîná,mûfu ,n-ʃiŋu,bú-tukú,dyûlú dí-ulú,-mwé,muntu,m-vulá,n-zílá,mú-zí,mukèlè(à) ,lú-séŋá,kú-moná,-tùma,bumvu,-imba,dí-koba,dyulu ,tú-lu,mwînʃí,nnyòka 1,difùmà ,-iba,dí-bwé,dîbá,mú-kilá,diikùmi ,-sàtù pronom numéral cardinal,lú-dimí,dînú,mú-ci,-bidi,mênyi(u) ,musòkò(ù),-lùka ,kú-éndá,mvità,mâyí má-ayí,?,mú-kazi,dime(a),mulonda ,,"Clercq, W (1960) Tshiluba, Available on CBOLD http://www.cbold.ish-lyon.cnrs.fr/ (last visit: 24-04-2011)."
L32_Kanyok,nyam,kúbok,bút,cy-úúl,?,dífu̪,-nên,kôɲ,kúsum,máʃ,múfuh,díbeel,-osh,?,dívúb,kw-íy-i̪ -iyi̪,?,kúfu̪,kákábu̪,kúnù,díít,kúdi̪,díy,?,díís,?,?,-sêby,dísal,cízal,múdil,?,músaaɲ,?,?,?,-akish,?,-lab,lúsik,mút,?,-cîm,lúseéŋ,?,?,?,-zuh,cín,?,kúmáɲik,díbiz,múkon,-zal,lúkus,múlumwámbu,-su,múkán,dízin,?,ʃiiŋ,búfuk,múúl,dyúm -úm,múút,mvúl,nzíl,múzi̪,?,lúseeŋ,-mon,?,?,?,císêb,?,-l  ̍,mwíʃ,?,?,?,díbu,dĭb,múkil,?,?,lúdim,dìn,mútóond,-bìdy,?,?,?,kwénd,?,-anz,?,-kâz,?,?,,"Bastin Y, Coupez A, & Mann M (1999) Continuity and divergence in the Bantu languages: perspectives from a lexicostatistic study (Musée Royal de l’Afrique Centrale (MRAC), Annales, Série in-8°, Sciences humaines 162, Tervuren) p 225."
L34_Hemba,nyáma,úbǒ,múto,yûta,?,áfǔ,-átábééyá ,óni,úsumá,múlóhá,muuyá,máběle,útemá,?,tíímbá,úvwa,?,úfwa,mbwǎ,únywa,chwi,úlya ,gii,?,yisó,?,?,mágáni,salá,lw-âlá,múlíló,?,músíhá,?,úvúmbúá ,?,-hán- úhána,?,mávu,nywéné,múchwe,útengenéná,mú-sozí,lúseengé,?,?,?,wíhágá,ngumbá,?,úyúúa,bizí,ú-gúlú,timá,ngusó,múlumé,mwênzi,kwánwa ,ziná,?,siingó,bútufú,yulú,-mó,múndu,m-vulá,siindá,múzi,?,múshênga,úmoná,?,?,?,múbílí,?,túlo,mwîsi,?,?,?,bwéé,yúba,mwilá,?,?,lúlimí,yinó,múti,-bílí,?,?,?,wégélá,?,mêma,?,mwánámwaazí,?,?,,"Bastin Y, Coupez A, & Mann M (1999) Continuity and divergence in the Bantu languages: perspectives from a lexicostatistic study (Musée Royal de l’Afrique Centrale (MRAC), Annales, Série in-8°, Sciences humaines 162, Tervuren) p 225."
L35_Sanga,-nyámá,-bòkó,-tò,-ùdá,?,"-fǔ, di:fǔ, mafǔ",-kátàmpé,-oni,-sùm-,-sî,-kùpa,-bědè,-pì-,?,di:-kumbi,-íy-,?,-fù-,-bwà,-tòm-,-twì,-dì-,-î,?,-ìsó,?,?,-ánì,-sàlá,-àlá,-dídó,?,-sàbí,?,-tùmbuk-,?,-pà-,?,-sídì,-súkì,-twè,-tè:dek-,mu-tìma,-sèngò,?,?,?,-ípay-,-kùfí,?,-yú:k-,-bŭ:là ,-úlú,di:-tìma,-kùsó,-ánà-dùmé,ngóndó,-nwá,-zìná,?,-koʃi,-fùkú,-óná,-mô,-ntú,-vùdá,dí:-shìndà,-zyá:zí,?,-séngà,-mòn-,?,?,?,-kúpó,?,-dò,-ìsí,?,?,?,-bwe,-tê ka-,-kìlá,?,?,-dìmí,-ìnó,-tì,-bìdì,?,?,?,-énd-,?,-ìmá mêma,?,-àná-kàzí,?,?,,"Bastin Y, Coupez A, & Mann M (1999) Continuity and divergence in the Bantu languages: perspectives from a lexicostatistic study (Musée Royal de l’Afrique Centrale (MRAC), Annales, Série in-8°, Sciences humaines 162, Tervuren) p 225."
L41_Kaonde,nyama,ku-boko,buto,kyula,?,jivumo,kubaya,ka-ŋonyi ,ku-suma,ma-shi,ki-kupa,ji-bele,ku-pya,?,ji-kumbi,ku-ya,?,ku-fwa,ka-bwa,ku-toma,ku-twi,ku-ja,ji-ke,?,jiso,?,?,ma-futa,ji-sala ,lwaala,mu-jilo,?,ji-sabi,?,ku-tumbuka,?,ku-pana,?,panshi,nsuki,mu-twe,ku-mvwa,mu-chima,ji-sengo,?,?,?,ku-ipaya,ji-nungo,?,ku-yuka,ji-buula,ku-ulu,ji-chima,lu-kuso,?,ŋondo,ka-nwa,ji-zhina,?,?,bu-fuku,moona,-mo,mu-ntu,mvula,ji-shinda,mu-zhazhi,?,mu-senga,-mona,?,?,?,ki-koba,?,tulo,bwishi,?,?,?,ji-bwe ,juba ,mu-kila,?,?,lu-jimi,jino,ki-chi,-biji,?,?,?,-ya,?,meema,?,mwanamukazhi,?,?,,"Bastin Y, Coupez A, & Mann M (1999) Continuity and divergence in the Bantu languages: perspectives from a lexicostatistic study (Musée Royal de l’Afrique Centrale (MRAC), Annales, Série in-8°, Sciences humaines 162, Tervuren) p 225."
L51_Salampasu,-vong ,nyonkwa,-ti,-babul,?,-vum,-vump,-jila,-sum-,-kila,-fuva,-ye:li,-bamb,?,-bvi,-enz,?,-f,-bwa,-nwa,-tu,-dya,-y,?,-is,?,?,ma:ny,-ka,-zal,-vya,?,nsh,?,?,?,kupa,?,mav,-sa:nya,-tu,-omu,-dzing,-seng,?,?,?,-jiv,-kasi,?,-vuruk,-yinj,-endi,-bye:li,-gwin,-ntu,ngondi,-bvumb,-kumbu,?,-shung,-pfuk,-zu¬,-mw,-ntu,-mvul,-jil,-ji¬u wa mutondy,?,-se:li,-man,?,?,?,seya,?,-twu¬,-ish,?,?,?,-we:wa,-taj,-kila,?,?,-dimi,-ze:u,-tondy,-ady,?,?,?,-end-,?,meya,?,-kaj,?,?,,"Bastin Y, Coupez A, & Mann M (1999) Continuity and divergence in the Bantu languages: perspectives from a lexicostatistic study (Musée Royal de l’Afrique Centrale (MRAC), Annales, Série in-8°, Sciences humaines 162, Tervuren) p 225."
L52_Lunda,mbizhi,chi-kasa,usuti,chula ou ikowa,?,i-vumu,-toha,kamulia,-suma,mashi,ifuaha tshifuaha,i-yeli,kotsha,?,i-vu,-twaya,?,-fwa,kawa,kuna ,li-thwi,-da,lionda,?,disu,?,?,maji ,mona,izala,kesi,?,insi,?,-tuuka,?,kuhana,?,maseki,nsuki,mu-tu,-tiya,muchima ou mbunge,nsengu,?,?,?,kujiha,inuŋu,?,kwiluka,ifu,mwendu,mu-chima,yina ,iyala,kweji,kana,i-zhina,?,nshiŋu,wufuku,mu-zulu,-mu,mu-ntu,nvula,nzhila,mu-zhi,?,wusekulula,kumona,?,?,?,tshitembi,?,tulu,nyishi,?,?,?,i-lola,mutena,mukila,?,?,idimi,i-zewu,mu-tondu,yali,?,?,?,kuenda,?,meji,?,mubanda,?,?,,"Bastin Y, Coupez A, & Mann M (1999) Continuity and divergence in the Bantu languages: perspectives from a lexicostatistic study (Musée Royal de l’Afrique Centrale (MRAC), Annales, Série in-8°, Sciences humaines 162, Tervuren) p 225."
K11_Ciokwe,-yifwo,lí-voko,to,chula,?,jimo,-nene,ka-jila,-sum- ,ma-nyinga,chifwaha,li-ele,-yil-,?,lelwa,-iz-,?,-fw-,ka-wa,-nw-,twitwi,-li-,li-onda,?,liso,?,?,maji,lungona,cala,kahia,?,yiʃi,?,-humuk-,?,-ak- ou -han-,?,hashi,lu-kambu,hashi,-ivw-,m-bunge,mbinga,?,?,?,-ʃih-,kungunwa,?,-nyingik-,li-fwo,kulu,-ayi,yina,kungunwa,kakweji,kanwa,jina,?,kota,u-fuku,zulu,-mwe,mu-tu,-vula,jila,mu-ji,?,ma-sekeseke,-mon-,?,?,?,makowa,?,tu-lo,mw-iʃi,?,?,?,li-we,tangwa,muchila,?,?,limi,-zo,mu-todo,-ali,?,?,?,-end-,?,meya,?,pwa ma-,?,?,,"Bastin Y, Coupez A, & Mann M (1999) Continuity and divergence in the Bantu languages: perspectives from a lexicostatistic study (Musée Royal de l’Afrique Centrale (MRAC), Annales, Série in-8°, Sciences humaines 162, Tervuren) p 225."
K14_Lwena,nyama,?,útò,-ula,?,lìjìmò,-nénè,-jílà,-súma,u-nyîngà,-fúhwà,-vélè,ku-wèmà,?,-vwì,kw-ízà,?,ku-twà,-wà,ku-nwà,-twîtwì,ku-lyà,-ûlù,?,lí:sò,?,?,májì, -ngônà,-mbambo,káhyà,?,íshì,?,ku-tûkà,?,-hán-,?,-́vù,khâmbu,-twè,-́twè,-címà,-mbinga ,?,?,?,ku-jiha,-mbúlì,?,kw-íjíva,li-fo,li-hinʒi,-sûlì,jínà,lúngà,-kwéjì,-nwa,-jínà,?,-ʃíngò,ùfûkù,-zûlù,-mwé,-thù,vúlà,jìlà,mwìjì,?,-sékèsèkè,ku-môna,?,?,?, -kóvà,?,túlò,wíshi,?,?,?,-lóbwà,li-kúmbi,-kila,?,?,-límì,lìzò,-tôndo,-válì,?,?,?,-támbuka,?,méyà,?,pwévò,?,?,,"Bastin Y, Coupez A, & Mann M (1999) Continuity and divergence in the Bantu languages: perspectives from a lexicostatistic study (Musée Royal de l’Afrique Centrale (MRAC), Annales, Série in-8°, Sciences humaines 162, Tervuren) p 225."
K15_Mbunda,sitú,lí-voko,lítò,c-ûla,?,lí-fu,-kámà,ká-zila,kuxuma,má-ninga,cɩ́-t̪iya,lí-vele,kw-énya,?,li-xêlwa,kwízà,?,kú-t̪a,ká-tali,kunwa,lî-twi,kú-lya,livúnda,?,lî-xo,?,?,mâ-zi,li-wúnga,c-âla,túyà,?,isi,?,kupulula,?,kw-ána,?,asi o,ciŋambu,mû-twe,kuziva,mbúnge,mbínga,?,?,?,ku-t̪íya,li-vúli,?,kú-zivúka,li-putá,lîndi,lí-xuli,lî-na,mú-nalúme,ngónde,kanwa,lí-zina,?,singó,vú-t̪iki,lí-julu,-mó,mú-nu,nyónzi,ngíla,mu-zí,?,muxeke,ku-móna,?,?,?,ci-lâmbu vi-lâmbu,?,tû-lo,vw-îsi,?,?,?,li-mánya,litangwa,mú-kila,?,?,ndáká,li-yó,mú-ti,-valí,?,?,?,kw-énda,?,mêma,?,munakazi,?,?,,"Bastin Y, Coupez A, & Mann M (1999) Continuity and divergence in the Bantu languages: perspectives from a lexicostatistic study (Musée Royal de l’Afrique Centrale (MRAC), Annales, Série in-8°, Sciences humaines 162, Tervuren) p 225."
K21_Lozi,nama,lizoho,mulola,likwati,mumbeta  ,mba,-tuna,ɲuɲuni,kuluma,mali,lisapo,lizwele,-tumbuka,mwana  ,lilu,kutaha,?,kushwa,nja,kunwa,zebe,kuca,lii,tou,liito,sifateho  ,-lauka,mafula,lifufa ,linala,mulilo,?,tapi,ketalizoho,kufufa,ne,kufa,puli,fafasi,milili,toho,kutwa,pilu,lunaka,?,tala,?,kubalaya,liŋwele,?,kuziba,litali,lihutu,sibiti,nda,?,kweli,mulomo,libizo,makubu ,mulala,busihu,ŋgo,-ŋwi,mutu,pula,nzila,mubisi,?,mushabati,kubona,-tuma,?,nguya,litalo,?,?,musi,noha,?,?,li$cwe,li-zazazi,muhata,lishumi ,talu,lulimi,liino,kota,-beli,muluto,munzi  ,-taza,ku-zamaya,muuna,nezi,?,musali,?,?,,"Bastin Y, Coupez A, & Mann M (1999) Continuity and divergence in the Bantu languages: perspectives from a lexicostatistic study (Musée Royal de l’Afrique Centrale (MRAC), Annales, Série in-8°, Sciences humaines 162, Tervuren) p 225."
K31_Luyana ,nyámá,mooko,muto,likwati,?,lipumo,ùnènè,nyúnyi,kusuma ,linyínga ,sifuba,liele,byá,?,likúmbi,úíye,?,fá,mbwá,nwá,itwí,lyá,líki,?,liiyo ,?,?,mafútá ,booya,liɲala,mulilo,?,ndí,?,túka,?,ku-ba,?,banji,luuki,mútwí,úwa ,múchimá,mushengo,?,?,?,íbaa,linwi,?,kulimuka,limuna,liulu,?,na,múlúmé,kweti,mulomo,litína,?,ndingo,úsíkú,líyùlù,sí-mweyá,munu,mbúla,ndila,mubisí,?,mushéke,móna,?,?,?,síkwa,?,?,múùse,?,?,?,liwe,líywá,musílá,?,?,lúlímí,liyóo,sítóndó,mb-íli,?,?,?,énda,?,méyí,?,mukatí,?,?,,"Bastin Y, Coupez A, & Mann M (1999) Continuity and divergence in the Bantu languages: perspectives from a lexicostatistic study (Musée Royal de l’Afrique Centrale (MRAC), Annales, Série in-8°, Sciences humaines 162, Tervuren) p 225."
K33_Kwangali,nyama,kuwoko,enoto,ezura,?,sipumba,munene,sidira,huma,honde,sisupa,evere,kupya,?,eremo,mundiro,?,kufa,mbwa,kunwa,kutwi,kulya,ewuta,?,enho,?,?,magadi,ruhunga,embwara,mundiro,?,mfi,?,kutuka,?,kugava,?,pevhu,nohuki,mutwe,kuzuvha,mu-tjima,?,?,?,?,kudipaga,ngoro,?,kudiva,ehako,kuguru,e-huli,ena,mugara,kwedi,kana,edina,?,nsingo,masiku,ezuru,gumwe,muntu,mvhura,nzira,ndandani,?,evhu,kumona,?,?,?,sipapa,?,kurara nompofu,musi,?,?,?,emanya,e-zuva,musira,?,?,eraka,ezego,sitji,vavali,?,?,?,?,?,mema,?,mukadi,?,?,,"Bastin Y, Coupez A, & Mann M (1999) Continuity and divergence in the Bantu languages: perspectives from a lexicostatistic study (Musée Royal de l’Afrique Centrale (MRAC), Annales, Série in-8°, Sciences humaines 162, Tervuren) p 225."
K332_Rumanyo,kɔ̂ràmà,ßɔ̂kɔ̀,mututwi,jûrà,ǀɛ́ǀ̰à,pûmbà,nɛ̂nɛ̀,dîrà,ʃûmà,hɔ́ndɛ̀,fûpà,?,rúŋgwìrà,ónà,rémò,mjátùkà,várà,hánùnà,bwà,nwà,twì,ljà,ßûtà,ʤ̑óvù,nʧ̑ò,tò,wá,ɣádì,húŋgà,ndwárà,ndírò,kûnì,ʧ̑wì,tánò,tûkà,ínè,pà,kômbò,?,húkì,twè,ʝûvà,ʃîmà,ßíŋgà,ʤ̑ûɣò,ʤ̑árà,ɣùrà,dípàɣà,górò,bêrè,ʝîvà,hákò,ɣúrù,ʃûlì,nà,?,kwédì,nwá,dîná,kôvù,tîŋgò,tîkù,ʝûrù,mwè,?,vûrà,ʤ̑írà,dìrâkà,ŋgwà,ʃêkè,mônà,tûmà,ʧ̑ônì,ʝîmbà,kôßà,wîrù,túrò,tì,ʝôkà,ɣóŋgà,ßâkà,wé,ʝûßà,ʃîrà,kûmì,tátù,râkà,ʝéɣò,tôndò,ßírì,mà,dóròpà,rûkà,?,ítà,mémà,pêpò,?,?,?,,"Möhlig WJG & Shiyaka-Mberema KP (2005) A dictionary of the Rumanyo language - Rumanyo-English / English-Rumanyo (Rudiger Köppe Verlag Koln, Cologne) p 459."
R11_Umbundu,ósi̍tú,ókwo̍kwó,éti̍kó,ócípétà,ula,ímò,-́ne̍nè,ónji̍lá,ókúlu̍mánà,ósóndè,éke̍pá,éve̍lé,támà,omona,éléndè,ókwíyà,tenda,ókúfà,ómbwà,ókúnywà,étwɩ,ókúlyà,ésa̍là,onjamba,ísò,?,loka,úlélà,éɲa̍,ólúudjálà,óndálu̍,?,ómbi̍sí,tanu,ókúpãlãlã,kwana,ókuɩhà,ohombo,pósì,ésíngà,útwe̍,ókúyévá,útímá,ómbíngà,onjo,onjala,ongeya,ókwípáyà,òngòlò,omoku,ókúkúlíhà,émélá,ókúlú,ómu̍má,ónà,úlúmé,ésáyì,omena,óndúkò,?,ósíngó,úte̍ké,éɲulu,mósì,ómúnù,ómbe̍la,óudjílà,ólúmbómbò,omongwa,évè,ókúmólá,tuma,?,imba,éko̍vá,?,étúlo̍,ówísí,onyoha,onjelia,iva,éwe̍,éku̍mbí,úkɩ̠̍l̠á̠,ekwi,tatu,élímí,éiyò,útì,vá:lì,?,imbo,sanja,ókwéndà,ovita,óvává,ofela,úkayì,olume,utali,,Schadeberg TC (1990) A sketch of Umbundu (R. Köppe Verlag).
R21_Kwanyama,ombelela,okwooko,omute,oshipeta,ombete,edimo,-nene,odila,okulumata,ohonde,ekipa,evele,okupya,?,oshilemo,okuuya,?,okufya,oombwa,okunwa,okutwi,okulya,ei,?,eisho,?,?,omakaadi,olwenya,olunyala,omundilo,?,oshi,?,okutuka,?,okuyandja,oshikombo,poshi,oluxwiki,omutwe,okuuda,omutima,oluvinga,eumbo,?,?,okudipa,ongolo,?,okushiiva,efo,okuulu,exuli,ona,omulumendu,omwedi,okanya,edina,?,ofingo,oufiku,edyulu,-mwe,omunhu,odula,ondjila,omudi,?,eheke,okumona,?,?,?,?,?,eemhofi,omwifi,eyoka,?,?,emanya,etango,omushila,?,?,elaka,eyoo,omuti,-vali,?,?,?,okweenda,?,omeva,?,omwalikadi,?,?,,"Bastin Y, Coupez A, & Mann M (1999) Continuity and divergence in the Bantu languages: perspectives from a lexicostatistic study (Musée Royal de l’Afrique Centrale (MRAC), Annales, Série in-8°, Sciences humaines 162, Tervuren) p 225."
R22_Ndonga,onyama,okwako,omutoko,eyula,?,epunda,omunene,okadhila,okulumata,ombinzi,esipa,egundji,okupya,?,oshikogo,okuya,?,okusa,ombwa,okunwa,okutsi,okulya,eyi,?,eho,?,?,omakagadhi,olw-enya,olunyala,omulilo,?,ohi,?,okutuka,?,okupa,?,pevi,efufu,omutse,okuuva,omutima,ooluniga,?,?,?,okudhipaga,ongolo,?,okutseya,e-fo,okugulu,ehuli,ona,omulumentu,omwedhi,okana,edhina,?,othingo,uusiku,eyulu,-mwe,omuntu,omvula,ondjila,omudhi,?,evi,okumona,?,?,?,oshipa,?,oomposi,olwithi,?,?,?,emanya,e-tango,omushila,?,?,elaka,eyego,omuti,yaali,?,?,?,okweenda,?,omeya,?,omukiintu,?,?,,"Bastin Y, Coupez A, & Mann M (1999) Continuity and divergence in the Bantu languages: perspectives from a lexicostatistic study (Musée Royal de l’Afrique Centrale (MRAC), Annales, Série in-8°, Sciences humaines 162, Tervuren) p 225."
R31_Herero,onyama,okuoko,omutwe,djitatu,?,pehuri,-nene,ond̪era,oku-rumata,ombind̪u,et̪upa,evere,okupya,?,odjikamba,okuya,?,okuta,ombwa,okunwa,okutwi,okurya,ei,?,eho,?,?,ond̪ura,einya,onyara,omuriro,?,ohi,?,okutuka,?,okuyandja,?,pehi,ondjise,odjiuru,okuzuva,omutima,onya,?,?,?,okuzepa,ongoro,?,okutjiwa,otjiyao,okurama,ehuri,ona,omurumendu,omueze,otjinyo,ena,?,osengo,out̪uku,euru,-mwe,omundu,ombura,ondjira,omuze,?,eheke,okumuna,?,?,?,omukova,?,ozombot̪u,omuise,?,?,?,ewe,eyuva,omutjira,?,?,eraka,eyo,omuti,mbari,?,?,?,okuwondja,?,omeva,?,omukazendu,?,otjitenda,,"Bastin Y, Coupez A, & Mann M (1999) Continuity and divergence in the Bantu languages: perspectives from a lexicostatistic study (Musée Royal de l’Afrique Centrale (MRAC), Annales, Série in-8°, Sciences humaines 162, Tervuren) p 225."
L12b_Holu,-sí(i)tu,kú-booko,fúupi,bálamba,?,vúmu,-ne(e)ni,ká-zi(i)la,-su(u)m-,má-kenyi ,kíi-fua,má-beedi,-hi-,?,tú(u)ti,-kíiza ,?,-fu-,káá-bwa,-nu-,díi-tu,-di-,díi-yi,?,díi-su,?,?,máazi,lóoswa,kí-báála,túu-hya,?,yíisi,?,-zééng-,?,"-ha-, -háan-",?,hóosi,lú-nkaambu,múu-tu,kíiva,mú-tima,mbiínga,?,?,?,-sííy-,bóongu,?,-zí(i)b-,fúku,kúulu,díi-bi,yíina,?,mbé(e)zi ,káa-nwa,zɩ́na,?,síingu,ú-fuku,mú-zu(u)lu,?,muúntu,mvúla,nzíla,sína,?,zéelo,-mó(o)n-,?,?,?,bálamba,?,-túu-lu,mwíisi,?,?,?,dí-baanga,kúumbi,mú-kila,?,?,-díimi,díi-zu,múu-ti,mbaadi,?,?,?,-dyáát- ,?,méeya,?,mú-keento,?,?,,"Bastin Y, Coupez A, & Mann M (1999) Continuity and divergence in the Bantu languages: perspectives from a lexicostatistic study (Musée Royal de l’Afrique Centrale (MRAC), Annales, Série in-8°, Sciences humaines 162, Tervuren) p 225."
L53_Runda,?,?,mant,col,?,divumu,yijim,kajil,-sum,maʃ,difup,diyel,-tem,?,kwend,-ez,?,-f-,kabu,-n-,ditu,-di-,diy,?,dis,?,?,many,divuj,nzal,kasu,?,"inʃ, anʃ",?,-twik,?,-ink,?,panʃ,nswie,mutu,-ov,rudung,musengu,?,?,?,-jip,?,?,-ij,diyij,?,?,?,ikundj,ngond,-mukan,dijin,?,nʃingu,ucuku,mazur,uruwing,muntu,ruvul,njil,muj,?,usukuril,-man,?,?,?,cikand,?,?,mwiʃ,?,?,?,diyal,muten,mukil,?,?,rudim,dizeu,mutond,ya:d,?,?,?,-end,?,mem,?,mband,?,?,,"Bastin Y, Coupez A, & Mann M (1999) Continuity and divergence in the Bantu languages: perspectives from a lexicostatistic study (Musée Royal de l’Afrique Centrale (MRAC), Annales, Série in-8°, Sciences humaines 162, Tervuren) p 225."
L221_Lwalwa,bí-sumphá,?,bú-ci,shiísu,?,ɩ́-zúmu,-́nene,ń-ʒila,(kú)-suma,má-sása,i-fua,í-beelu,(kú)-bwíila,?,li-zwa,(kw)ɩ́iya,?,(kú)-fwa,ḿ-bwa,(kú)nwa,í-swa,(kú)-dya,íi-ya,?,"díísu, míísu",?,?,máaʒí,lúsala,shí-nteendú,túya,?,mú-shíya,?,(kú)-katuka,?,(kú)-pa,?,máánu,í-saaŋá,mú-twa,(k)óóvámíná,?,"lúseeŋo, ń-",?,?,?,(kú)-zúwa,í-kosó,?,kú-yiba,í-kasa,lú-úlu,í-bádi,ńń-shína,múúnthu,ŋóóndʒi,mú-lómo,í-ʒina,?,ń-shiiŋu,bú-suku,ḿ-boombó,moshi,múúnthu,(ḿ)-vula,-zilá,múu-nsí,?,lú-sééŋe,(kú)-mono,?,?,?,ń-kupu,?,?,mwííshi,?,?,?,í-manyá,-taaŋwa,múkila,?,?,lú-dimi,dyééwu,mú-baaŋala,-́óóle,?,?,?,kwéénde,?,mááshi,?,mú-kéénthu,?,?,,"Bastin Y, Coupez A, & Mann M (1999) Continuity and divergence in the Bantu languages: perspectives from a lexicostatistic study (Musée Royal de l’Afrique Centrale (MRAC), Annales, Série in-8°, Sciences humaines 162, Tervuren) p 225."
L33_Luba-Shaba,mwita,di:kàsa,bu-tò,ki-bàle,?,-fu,-kàtà,koni,ku-sùma,-ʃi,mu-kùpa ,-bele,kute:ma,?,di:kumbi,kwiya,?,ku-fwà,m-bwà,ku-tòma,ku-twì,ku-dyà,dì,?,dî:so,?,?,mani,-sala,dyà:là,mu-dilo,?,-ʃipa,?,?,?,ku-pà,?,-lobà,-nywěle,0.0,-ùmvwa ,"muku:nka, mi-",lu-sè:ngò,?,?,?,-ipaya,kunwi,?,-yuka,mani,?,?,kuso,mwâna mulùme,kw-êzi,kyà kanwa,di:zìna,?,nshingo,bu-fuku,mu:lù,-mo,mu-ntu,m-vula,di:ʃìndà,-ji,?,mu-senga,-mona,?,?,?,lu-koba,?,?,mw-îʃi,?,?,?,di:-bwe,dyuba,-kila,?,?,lu-dìmi,dîno,mutʃì,-bìdì,?,?,?,kúnângà,?,mêma,?,mwana mu-kàzi,?,?,,"Bastin Y, Coupez A, & Mann M (1999) Continuity and divergence in the Bantu languages: perspectives from a lexicostatistic study (Musée Royal de l’Afrique Centrale (MRAC), Annales, Série in-8°, Sciences humaines 162, Tervuren) p 225."
